time,flow,salt,temp,TRC_tr1,TRC_age,NCS_ss1,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_grn
2023-06-24 12:00:00,0,0.011935,12.142257,1,0,4.052061,268.168369,0,7.891865,28.602801,0.986048,0.020844,105.118657,124.783918,11.308366,12.65721,0.327325,0.188411,903.860501,25.384492,0.084994,28.710107,1.275623
2023-06-25 12:00:00,0,0.011937,12.336486,1,0,3.992361,266.498424,0,7.360026,28.653396,0.963933,0.020154,105.213149,135.593853,11.29475,13.543014,0.328973,0.203251,905.75953,25.378137,0.085161,28.795379,1.258441
2023-06-26 12:00:00,0.0003,0.011935,12.301592,1,0,4.105048,250.81975,0,7.968277,27.825434,0.971946,0.020881,107.493116,175.226558,11.489478,17.38573,0.334077,0.263303,922.084096,25.732248,0.086419,29.297949,1.215958
2023-06-27 12:00:00,0,0.011936,12.312337,1,0,4.128701,228.358406,0,10.908245,23.943666,0.979791,0.021175,109.688413,172.43975,11.685241,17.031389,0.330857,0.261145,925.496845,25.807615,0.086675,29.379493,1.152209
2023-06-28 12:00:00,0,0.011941,12.337013,1,0,4.18422,221.688649,0,12.366389,22.025886,0.992042,0.021739,111.70069,168.576778,11.853526,16.63282,0.331881,0.259511,936.754693,26.051885,0.087513,29.618656,1.099281
2023-06-29 12:00:00,0,0.01194,12.343629,1,0,4.183544,197.583727,0,15.368159,17.925248,0.99847,0.021879,113.578584,164.533309,12.019535,16.228915,0.326606,0.258011,936.440902,26.043737,0.087487,29.612508,1.025447
2023-06-30 12:00:00,0.0004,0.011941,12.365786,1,0,4.193775,161.712243,0,19.18708,12.727527,1.004621,0.022077,115.255891,160.047728,12.165294,15.703475,0.322505,0.253895,938.330946,26.090317,0.087635,29.653435,0.964459
2023-07-01 12:00:00,0,0.011942,12.409817,1,0,4.120564,189.628466,0,22.200266,8.59067,1.031972,0.02215,114.621473,148.54063,12.035239,14.485449,0.312495,0.238118,929.018899,25.764076,0.086778,29.418767,0.884997
2023-07-02 12:00:00,0,0.011942,12.417598,1,0,4.147325,145.882726,0,25.208753,4.346603,1.03176,0.022445,116.470552,147.327393,12.207558,14.284928,0.309066,0.238145,931.884503,25.862721,0.087039,29.494716,0.836023
2023-07-03 12:00:00,0,0.011942,12.483036,1,0,4.211378,99.130468,0,27.587878,1.01713,1.026095,0.022696,118.067424,127.955439,12.354642,12.167696,0.307848,0.203022,939.177554,26.081437,0.087644,29.662619,0.815453
2023-07-04 12:00:00,0,0.011974,12.199991,1,0,4.691908,258.033895,0,10.980133,23.394654,1.018745,0.024965,116.360445,96.490195,12.004176,8.836635,0.344,0.145921,1006.418682,27.25239,0.091702,30.647758,0.876598
2023-07-05 12:00:00,0,0.011968,11.99107,1,0,4.822235,285.684312,0,10.622824,23.64367,1.013284,0.025415,116.935288,100.925767,11.966754,9.0475,0.345579,0.151173,1014.827394,27.259959,0.091918,30.815724,0.850643
2023-07-06 12:00:00,0,0.01197,12.157618,1,0,5.105915,285.702618,0,8.766382,25.401315,0.981947,0.026164,117.447657,130.35418,11.778719,11.225284,0.347692,0.190852,1020.643432,26.847768,0.091264,31.115785,0.848883
2023-07-07 12:00:00,0.0005,0.01197,12.161615,1,0,5.105915,257.576952,0,12.348296,20.650054,0.988464,0.02634,118.407016,127.210145,11.826968,10.95874,0.34203,0.189958,1020.58761,26.846299,0.091259,31.114258,0.791335
2023-07-08 12:00:00,0,0.011963,12.855968,1,0,5.778886,271.559137,0,7.458409,27.402627,1.004154,0.030704,122.034961,155.446968,12.197635,13.586334,0.366682,0.234965,1054.556606,27.651909,0.095141,32.03699,0.82165
2023-07-09 12:00:00,0,0.01196,12.64635,1,0,6.346904,250.876205,0,8.469871,25.978536,1.009556,0.033763,122.748497,185.399273,12.304487,16.540944,0.37661,0.292218,1054.5512,27.749063,0.09785,32.165453,0.790055
2023-07-10 12:00:00,0,0.011958,12.61897,1,0,7.088145,242.733961,0,8.656296,25.333722,1.00327,0.037451,121.654902,183.02022,12.241618,16.721382,0.38944,0.303443,1044.665766,27.57161,0.10118,31.951017,0.770632
2023-07-11 12:00:00,0,0.011961,12.560619,1,0,7.608026,247.60392,0,8.477354,25.121488,0.995275,0.039831,119.770602,122.634209,12.093778,11.452692,0.399085,0.213573,1032.300003,27.317351,0.104103,31.426897,0.72917
2023-07-12 12:00:00,0,0.011963,13.177193,1,0,8.289161,252.564797,0,8.818101,24.320154,0.993345,0.043845,118.372504,116.526713,12.040104,11.228203,0.412047,0.213827,1021.472307,27.199787,0.107738,31.142021,0.723617
2023-07-13 12:00:00,0,0.011963,14.006114,1,0,8.982708,260.888404,0,9.121797,23.565594,0.992631,0.048266,116.965367,110.589689,11.998296,10.990844,0.425399,0.213661,1010.265441,27.096437,0.111573,30.853786,0.711285
2023-07-14 12:00:00,0,0.011961,13.793376,1,0,9.816342,246.032242,0,10.025012,22.050293,0.994266,0.05261,116.024995,141.244109,12.009909,14.468924,0.438705,0.286578,999.406052,27.012007,0.11541,30.752308,0.684767
2023-07-15 12:00:00,0,0.011964,13.538263,1,0,11.01164,243.135145,0,10.073374,21.342222,0.972265,0.057419,113.06634,140.011981,11.784168,14.739654,0.454432,0.302168,974.835287,26.477834,0.119629,30.205159,0.672178
2023-07-16 12:00:00,0,0.011964,13.541168,1,0,11.018829,212.546448,0,13.607116,16.606297,0.981415,0.058,114.386146,135.087103,11.92279,14.37778,0.446489,0.300344,974.758213,26.476017,0.119627,30.202406,0.622924
2023-07-17 12:00:00,0,0.011965,13.547684,1,0,11.33219,189.386764,0,15.939629,13.294797,0.986956,0.059994,114.589815,129.958656,11.989319,14.082476,0.445364,0.299269,970.51564,26.42583,0.120867,30.091325,0.594637
2023-07-18 12:00:00,0,0.011967,13.560385,1,0,11.731609,172.966918,0,17.29394,11.17943,0.989892,0.06231,113.958653,126.806747,11.998194,14.02817,0.449858,0.3028,962.638465,26.333924,0.123195,29.912898,0.563821
2023-07-19 12:00:00,0,0.011979,13.696955,1,0,13.783598,246.606453,0,10.743717,18.863153,0.968519,0.071821,106.632183,91.690221,11.587265,10.855255,0.510781,0.236039,922.454716,25.925806,0.135833,28.815964,0.607358
2023-07-20 12:00:00,0,0.011969,13.125169,1,0,14.880575,278.52451,0,10.703309,18.416871,0.955556,0.075638,103.994965,90.262337,11.437163,11.047925,0.528869,0.245403,900.789203,25.569201,0.140489,28.320294,0.597995
2023-07-21 12:00:00,0.0007,0.011969,13.125956,1,0,14.880575,250.259588,0,13.770663,14.304737,0.96566,0.076439,104.249755,87.942401,11.49016,10.767223,0.519359,0.244212,900.736134,25.567695,0.140481,28.318802,0.553889
2023-07-22 12:00:00,0,0.011964,13.867391,1,0,20.297256,258.807428,0,8.90256,19.391948,0.848104,0.092926,94.077006,119.023991,10.702363,15.563994,0.589597,0.367635,805.796038,23.492353,0.153882,26.517649,0.647361
2023-07-23 12:00:00,0,0.01196,13.849499,1,0,19.85937,237.492172,0,9.848213,18.299303,0.888766,0.095246,96.655237,156.835055,10.958099,19.992962,0.58205,0.452579,822.934222,23.879789,0.152006,27.057129,0.654268
2023-07-24 12:00:00,0,0.01196,13.850476,1,0,19.859567,209.308509,0,12.949081,14.149406,0.900265,0.096481,98.797005,151.680454,11.255929,19.338938,0.571957,0.447372,822.894971,23.878747,0.151998,27.056831,0.603461
